action_type;activity_comment;activity_id;activity_properties;assay_chembl_id;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;canonical_smiles;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;standard_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;value
;;224312;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCN(C(C)C)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '10.39', 'le': '0.20', 'lle': '-0.89', 'sei': '16.64'};CHEMBL296979;;CHEMBL296979;5.92;0;http://www.openphacts.org/units/Nanomolar;82904;=;1;1;=;;Ki;nM;;1200.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;1200.0
;;225577;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCCO3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '10.53', 'le': '0.20', 'lle': '-1.29', 'sei': '14.76'};CHEMBL3085129;;CHEMBL3085129;6.14;0;http://www.openphacts.org/units/Nanomolar;82913;=;1;1;=;;Ki;nM;;730.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;730.0
;;228175;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '11.87', 'le': '0.23', 'lle': '-1.43', 'sei': '22.78'};CHEMBL296397;;CHEMBL296397;7.37;0;http://www.openphacts.org/units/Nanomolar;82907;=;1;1;=;;Ki;nM;;43.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;43.0
;;232020;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)N[C@]1(c2ccccc2)CC[C@H](N2CCCCC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '11.24', 'le': '0.22', 'lle': '-1.35', 'sei': '18.31'};CHEMBL3085124;;CHEMBL3085124;5.92;0;http://www.openphacts.org/units/Nanomolar;82903;=;1;1;=;;Ki;nM;;1200.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;1200.0
;;232022;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC1CCN([C@H]2CC[C@](NC(=O)C(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)(c3ccccc3)CC2)CC1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '11.72', 'le': '0.23', 'lle': '-1.17', 'sei': '19.60'};CHEMBL3085128;;CHEMBL3085128;6.34;0;http://www.openphacts.org/units/Nanomolar;82902;=;1;1;=;;Ki;nM;;460.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;460.0
;;232024;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(=O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '9.99', 'le': '0.19', 'lle': '-1.05', 'sei': '10.92'};CHEMBL431732;;CHEMBL431732;5.40;0;http://www.openphacts.org/units/Nanomolar;82914;=;1;1;=;;Ki;nM;;4000.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;4000.0
;;234462;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC3(CC2)OCCO3)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '10.26', 'le': '0.20', 'lle': '-0.62', 'sei': '11.81'};CHEMBL297344;;CHEMBL297344;6.00;0;http://www.openphacts.org/units/Nanomolar;82905;=;1;1;=;;Ki;nM;;1000.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;1000.0
;;237051;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '10.79', 'le': '0.21', 'lle': '-0.39', 'sei': '11.14'};CHEMBL298858;;CHEMBL298858;5.85;0;http://www.openphacts.org/units/Nanomolar;82901;=;1;1;=;;Ki;nM;;1400.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;1400.0
;;239775;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CC2)CCC(C)(C)O3)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '9.86', 'le': '0.19', 'lle': '-2.19', 'sei': '14.49'};CHEMBL3085132;;CHEMBL3085132;6.02;0;http://www.openphacts.org/units/Nanomolar;82909;=;1;1;=;;Ki;nM;;950.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;950.0
;;247790;[];CHEMBL824627;Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(O)(Cc3ccccc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '10.41', 'le': '0.20', 'lle': '-1.26', 'sei': '12.53'};CHEMBL3085130;;CHEMBL3085130;6.58;0;http://www.openphacts.org/units/Nanomolar;82900;=;1;1;=;;Ki;nM;;260.0;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;;260.0
