method,protein,ligand,affinity,output_file
qvina,8SPD,ligand_0,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_0_out.pdbqt
qvina,8SPD,ligand_1,-6.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_1_out.pdbqt
qvina,8SPD,ligand_2,-5.8,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_2_out.pdbqt
qvina,8SPD,ligand_3,-6.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_3_out.pdbqt
qvina,8SPD,ligand_4,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_4_out.pdbqt
qvina,8SPD,ligand_5,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_5_out.pdbqt
qvina,8SPD,ligand_6,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_6_out.pdbqt
qvina,8SPD,ligand_7,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_7_out.pdbqt
qvina,8SPD,ligand_8,-6.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_8_out.pdbqt
qvina,8SPD,ligand_9,-6.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_9_out.pdbqt
qvina,8SPD,ligand_10,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_10_out.pdbqt
qvina,8SPD,ligand_11,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_11_out.pdbqt
qvina,8SPD,ligand_12,-6.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_12_out.pdbqt
qvina,8SPD,ligand_13,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_13_out.pdbqt
qvina,8SPD,ligand_14,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_14_out.pdbqt
qvina,8SPD,ligand_15,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_15_out.pdbqt
qvina,8SPD,ligand_16,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_16_out.pdbqt
qvina,8SPD,ligand_17,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_17_out.pdbqt
qvina,8SPD,ligand_18,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_18_out.pdbqt
qvina,8SPD,ligand_19,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_19_out.pdbqt
qvina,8SPD,ligand_20,-4.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_20_out.pdbqt
qvina,8SPD,ligand_21,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_21_out.pdbqt
qvina,8SPD,ligand_22,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_22_out.pdbqt
qvina,8SPD,ligand_23,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_23_out.pdbqt
qvina,8SPD,ligand_24,-5.8,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_24_out.pdbqt
qvina,8SPD,ligand_25,-4.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_25_out.pdbqt
qvina,8SPD,ligand_26,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_26_out.pdbqt
qvina,8SPD,ligand_27,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_27_out.pdbqt
qvina,8SPD,ligand_28,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_28_out.pdbqt
qvina,8SPD,ligand_29,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_29_out.pdbqt
qvina,8SPD,ligand_30,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_30_out.pdbqt
qvina,8SPD,ligand_31,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_31_out.pdbqt
qvina,8SPD,ligand_32,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_32_out.pdbqt
qvina,8SPD,ligand_33,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_33_out.pdbqt
qvina,8SPD,ligand_34,-4.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_34_out.pdbqt
qvina,8SPD,ligand_35,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_35_out.pdbqt
qvina,8SPD,ligand_36,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_36_out.pdbqt
qvina,8SPD,ligand_37,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_37_out.pdbqt
qvina,8SPD,ligand_38,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_38_out.pdbqt
qvina,8SPD,ligand_39,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_39_out.pdbqt
qvina,8SPD,ligand_40,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_40_out.pdbqt
qvina,8SPD,ligand_41,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_41_out.pdbqt
qvina,8SPD,ligand_42,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_42_out.pdbqt
qvina,8SPD,ligand_43,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_43_out.pdbqt
qvina,8SPD,ligand_44,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_44_out.pdbqt
qvina,8SPD,ligand_45,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_45_out.pdbqt
qvina,8SPD,ligand_46,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_46_out.pdbqt
qvina,8SPD,ligand_47,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_47_out.pdbqt
qvina,8SPD,ligand_48,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_48_out.pdbqt
qvina,8SPD,ligand_49,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_49_out.pdbqt
qvina,8SPD,ligand_50,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_50_out.pdbqt
qvina,8SPD,ligand_51,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_51_out.pdbqt
qvina,8SPD,ligand_52,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_52_out.pdbqt
qvina,8SPD,ligand_53,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_53_out.pdbqt
qvina,8SPD,ligand_54,-4.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_54_out.pdbqt
qvina,8SPD,ligand_55,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_55_out.pdbqt
qvina,8SPD,ligand_56,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_56_out.pdbqt
qvina,8SPD,ligand_57,-6.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_57_out.pdbqt
qvina,8SPD,ligand_58,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_58_out.pdbqt
qvina,8SPD,ligand_59,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_59_out.pdbqt
qvina,8SPD,ligand_60,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_60_out.pdbqt
qvina,8SPD,ligand_61,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_61_out.pdbqt
qvina,8SPD,ligand_62,-6.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_62_out.pdbqt
qvina,8SPD,ligand_63,-6.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_63_out.pdbqt
qvina,8SPD,ligand_64,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_64_out.pdbqt
qvina,8SPD,ligand_65,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_65_out.pdbqt
qvina,8SPD,ligand_66,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_66_out.pdbqt
qvina,8SPD,ligand_67,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_67_out.pdbqt
qvina,8SPD,ligand_68,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_68_out.pdbqt
qvina,8SPD,ligand_69,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_69_out.pdbqt
qvina,8SPD,ligand_70,-6.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_70_out.pdbqt
qvina,8SPD,ligand_71,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_71_out.pdbqt
qvina,8SPD,ligand_72,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_72_out.pdbqt
qvina,8SPD,ligand_73,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_73_out.pdbqt
qvina,8SPD,ligand_74,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_74_out.pdbqt
qvina,8SPD,ligand_75,-5.8,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_75_out.pdbqt
qvina,8SPD,ligand_76,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_76_out.pdbqt
qvina,8SPD,ligand_77,-4.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_77_out.pdbqt
qvina,8SPD,ligand_78,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_78_out.pdbqt
qvina,8SPD,ligand_79,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_79_out.pdbqt
qvina,8SPD,ligand_80,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_80_out.pdbqt
qvina,8SPD,ligand_81,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_81_out.pdbqt
qvina,8SPD,ligand_82,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_82_out.pdbqt
qvina,8SPD,ligand_83,-5.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_83_out.pdbqt
qvina,8SPD,ligand_84,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_84_out.pdbqt
qvina,8SPD,ligand_85,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_85_out.pdbqt
qvina,8SPD,ligand_86,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_86_out.pdbqt
qvina,8SPD,ligand_87,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_87_out.pdbqt
qvina,8SPD,ligand_88,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_88_out.pdbqt
qvina,8SPD,ligand_89,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_89_out.pdbqt
qvina,8SPD,ligand_90,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_90_out.pdbqt
qvina,8SPD,ligand_91,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_91_out.pdbqt
qvina,8SPD,ligand_92,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_92_out.pdbqt
qvina,8SPD,ligand_93,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_93_out.pdbqt
qvina,8SPD,ligand_94,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_94_out.pdbqt
qvina,8SPD,ligand_95,-5.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_95_out.pdbqt
qvina,8SPD,ligand_96,-3.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_96_out.pdbqt
qvina,8SPD,ligand_97,-4.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_97_out.pdbqt
qvina,8SPD,ligand_98,-4.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_98_out.pdbqt
qvina,8SPD,ligand_99,-4.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_99_out.pdbqt
qvina,8SPD,ligand_100,-4.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_100_out.pdbqt
qvina,8SPD,ligand_101,-4.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_101_out.pdbqt
qvina,8SPD,ligand_102,-4.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_102_out.pdbqt
qvina,8SPD,ligand_103,-4.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_103_out.pdbqt
qvina,8SPD,ligand_104,-4.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_104_out.pdbqt
qvina,8SPD,ligand_105,-4.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_105_out.pdbqt
qvina,8SPD,ligand_106,-4.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_106_out.pdbqt
qvina,8SPD,ligand_107,-4.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_107_out.pdbqt
qvina,8SPD,ligand_108,-4.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_108_out.pdbqt
qvina,8SPD,ligand_109,-4.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_109_out.pdbqt
qvina,8SPD,ligand_110,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_110_out.pdbqt
qvina,8SPD,ligand_111,-4.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_111_out.pdbqt
qvina,8SPD,ligand_112,-4.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_112_out.pdbqt
qvina,8SPD,ligand_113,-4.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_113_out.pdbqt
qvina,8SPD,ligand_114,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_114_out.pdbqt
qvina,8SPD,ligand_115,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_115_out.pdbqt
qvina,8SPD,ligand_116,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_116_out.pdbqt
qvina,8SPD,ligand_117,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_117_out.pdbqt
qvina,8SPD,ligand_118,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_118_out.pdbqt
qvina,8SPD,ligand_119,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_119_out.pdbqt
qvina,8SPD,ligand_120,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_120_out.pdbqt
qvina,8SPD,ligand_121,-5.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_121_out.pdbqt
qvina,8SPD,ligand_122,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_122_out.pdbqt
qvina,8SPD,ligand_123,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_123_out.pdbqt
qvina,8SPD,ligand_124,-5.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_124_out.pdbqt
qvina,8SPD,ligand_125,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_125_out.pdbqt
qvina,8SPD,ligand_126,-4.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_126_out.pdbqt
qvina,8SPD,ligand_127,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_127_out.pdbqt
qvina,8SPD,ligand_128,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_128_out.pdbqt
qvina,8SPD,ligand_129,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_129_out.pdbqt
qvina,8SPD,ligand_130,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_130_out.pdbqt
